Issue Type,Summary,Description,Acceptance Criteria,Epic Name,Epic Link,Parent Issue Key
Story,Role-to-Group Mapping (RBAC),Implement a custom wrapper that maps our enterprise Identity Provider (IdP) groups to Flowable 'Candidate Groups.',"1. The API extracts group claims from the JWT token.
2. Users can only query or complete tasks where they are explicitly the assignee or belong to the candidateGroup.
3. Unauthorized access attempts return an HTTP 403 Forbidden.",,Msc Workflow Security,
Story,Variable Payload Security,"Establish a pattern for securing sensitive customer data, strictly enforcing a 'store-by-reference' model within Flowable.","1. Platform documentation strictly prohibits storing PII or PCI data directly as Flowable process variables.
2. Process variables are strictly limited to reference IDs and non-sensitive routing data.
3. Automated tests or PR review checklists enforce this standard.",,Msc Workflow Security,
Epic,Msc Workflow Platform: Observability,"Ensure the platform emits the necessary telemetry, metrics, and business events for monitoring and downstream data consumption.",,Msc Workflow O11y,,[REPLACE-WITH-FEATURE-KEY]
Story,History Level Tuning & Archival,Configure the Flowable History Level to capture required compliance data without bloating the database. Establish a data retention policy and archival job.,"1. The engine history level is configured to AUDIT.
2. A scheduled batch job successfully identifies process instances completed older than the retention threshold.
3. The job successfully moves these records to cold storage or deletes them without locking the active runtime tables.",,Msc Workflow O11y,
Story,State-Change Event Publishing (Kafka),Implement native Flowable TaskListeners and ExecutionListeners to publish domain events to our Kafka clusters whenever a critical workflow state changes.,"1. Global listeners are registered within the engine configuration.
2. Standardized JSON event payloads are published to the designated Kafka topic upon process start, task creation, task completion, and process end.
3. Events include critical tracing metadata.",,Msc Workflow O11y,
Story,Micrometer/Prometheus Metrics Integration,Expose internal Flowable engine metrics via Spring Boot Actuator/Prometheus endpoints so they can be scraped and visualized in Grafana.,"1. flowable-spring-boot-starter-actuator is included and configured.
2. The /actuator/prometheus endpoint successfully exposes Flowable-specific metrics.
3. A base Grafana dashboard is scaffolded to visualize active workflows.",,Msc Workflow O11y,
Epic,Msc Workflow Platform: Operations Tooling,"Build the administrative capabilities required for support teams to manage, troubleshoot, and intervene in stuck workflows.",,Msc Workflow Ops,,[REPLACE-WITH-FEATURE-KEY]
Story,Process Intervention APIs,"Build secured, admin-only endpoints to Suspend, Activate, or Terminate runaway or stuck Flowable process instances.","1. POST /admin/workflows/v1/instances/{id}/suspend successfully pauses execution.
2. POST /admin/workflows/v1/instances/{id}/terminate safely kills the instance.
3. APIs enforce strict RBAC.",,Msc Workflow Ops,
Story,Dead Letter Job Management,Build an API to query the Flowable Dead Letter table and an endpoint to force-retry those jobs once the underlying issue is resolved.,"1. GET /admin/workflows/v1/jobs/deadletter returns a list of failed jobs with exception stack traces.
2. POST /admin/workflows/v1/jobs/deadletter/{jobId}/retry successfully moves the job back to the executable queue.",,Msc Workflow Ops,
Story,Admin UI Scaffolding,"Within the Nx monorepo, scaffold an internal 'Workflow Operations' React application that consumes the administrative APIs.","1. A new internal React application is generated in the monorepo.
2. The UI successfully authenticates admin users via OIDC.
3. The UI presents a dashboard fetching and displaying active processes and dead letter jobs.",,Msc Workflow Ops,
